region_code,wbe_alarm_week,clinical_alarm_week,lead_weeks
06001,2022-01-01,2022-01-01,0.0
06001,2022-12-17,,
06013,2021-07-10,,
06013,2022-01-08,2022-01-08,0.0
06019,2022-04-09,,
06019,2022-12-03,,
06029,2022-11-26,,
06047,2022-01-08,2022-01-08,0.0
06047,2022-07-16,,
06067,2021-07-17,,
06067,2022-01-01,2022-01-08,1.0
06067,2022-05-28,,
06067,2022-12-10,,
06075,2021-07-17,2021-08-21,5.0
06075,2022-01-08,,
06081,2021-07-24,,
06081,2021-12-04,2022-01-08,5.0
06081,2022-05-14,,
06081,2022-12-31,,
06085,2020-11-21,2020-11-28,1.0
06085,2021-08-14,,
06085,2022-01-01,2022-01-08,1.0
06085,2022-05-14,,
06085,2022-12-03,,
06099,2022-01-08,2022-01-08,0.0
06113,2021-07-10,,
06113,2022-01-01,2022-01-08,1.0
06113,2022-05-07,,
06113,2022-12-31,,
