biomarker_id,name,omics_layer,disease_class,conditions,assay,evidence_tier,role,preferred_normaliser,excretion_parameter_status,n_references,primary_reference,caveats
arg_bla_ctx_m,blaCTX-M (extended-spectrum beta-lactamase),genomics,amr,Third-generation cephalosporin resistance,qPCR / dPCR / quantitative metagenomics,emerging,target,16s_rrna,,2,Davis BC et al. Evaluating Quantitative Metagenomics for Environmental Monitoring of Antibiotic Resistance and Establishing Detection Limits. Environ Sci Technol. 2025.,Gene presence does not establish that the host organism is clinically relevant. | Metagenomic detection limits are far above qPCR; absence in metagenomes is weak evidence (Davis 2025).
arg_bla_ndm,blaNDM (carbapenemase),genomics,amr,Carbapenem resistance,qPCR / dPCR / quantitative metagenomics,emerging,target,16s_rrna,,2,Davis BC et al. Evaluating Quantitative Metagenomics for Environmental Monitoring of Antibiotic Resistance and Establishing Detection Limits. Environ Sci Technol. 2025.,Gene presence does not establish that the host organism is clinically relevant. | Metagenomic detection limits are far above qPCR; absence in metagenomes is weak evidence (Davis 2025).
arg_inti1,intI1 (class 1 integron-integrase),genomics,amr,Mobile resistance element burden,qPCR / dPCR / quantitative metagenomics,established,target,16s_rrna,,2,Davis BC et al. Evaluating Quantitative Metagenomics for Environmental Monitoring of Antibiotic Resistance and Establishing Detection Limits. Environ Sci Technol. 2025.,Gene presence does not establish that the host organism is clinically relevant. | Metagenomic detection limits are far above qPCR; absence in metagenomes is weak evidence (Davis 2025).
arg_sul1,sul1 (sulfonamide resistance),genomics,amr,Sulfonamide resistance,qPCR / dPCR / quantitative metagenomics,established,target,16s_rrna,,2,Davis BC et al. Evaluating Quantitative Metagenomics for Environmental Monitoring of Antibiotic Resistance and Establishing Detection Limits. Environ Sci Technol. 2025.,Gene presence does not establish that the host organism is clinically relevant. | Metagenomic detection limits are far above qPCR; absence in metagenomes is weak evidence (Davis 2025).
candida_auris,Candida auris (ITS2 / C. auris-specific qPCR),genomics,communicable,Invasive candidiasis; Healthcare-associated C. auris colonisation,qPCR / dPCR (ITS2 region),emerging,target,pmmov,,2,Nwaubani DA et al. Wastewater surveillance of Candida auris in Baltimore. Int J Hyg Environ Health. 2024.,"Detection frequency tracks sewersheds serving healthcare facilities rather than general community prevalence (Barber 2023). | Reported correlation with clinical case counts is weak (r about 0.27, Nwaubani 2024); treat as a facility-level alert signal, not a prevalence estimator."
hepatitis_a,Hepatitis A virus,genomics,communicable,Hepatitis A,RT-qPCR,emerging,target,pmmov,,1,Chukwu EE et al. Surveillance of public health pathogens in Lagos wastewater canals: a cross-sectional study. BMC Public Health. 2024.,
hmpxv,"Monkeypox virus (mpox), G2R generic target",genomics,communicable,Mpox,qPCR / dPCR,emerging,target,pmmov,,2,Sherchan SP et al. Wastewater surveillance of Mpox virus in Baltimore. Sci Total Environ. 2023.,Detection is sensitive at low case counts; quantitative prevalence calibration is not established.
influenza_a,Influenza A virus,genomics,communicable,Seasonal influenza A,RT-qPCR / RT-dPCR,established,target,pmmov,,2,"Boehm AB et al. Wastewater concentrations of human influenza, metapneumovirus, parainfluenza, respiratory syncytial virus, rhinovirus, and seasonal coronavirus nucleic acids during a COVID-19 pandemic. Lancet Microbe. 2023.",Cannot distinguish human seasonal from avian/zoonotic influenza A without subtyping.
influenza_b,Influenza B virus,genomics,communicable,Seasonal influenza B,RT-qPCR / RT-dPCR,established,target,pmmov,,2,"Boehm AB et al. Wastewater concentrations of human influenza, metapneumovirus, parainfluenza, respiratory syncytial virus, rhinovirus, and seasonal coronavirus nucleic acids during a COVID-19 pandemic. Lancet Microbe. 2023.",
legionella_pneumophila,Legionella pneumophila (Lpp 24S rRNA target),genomics,communicable,Legionnaires' disease; Pontiac fever,qPCR / dPCR,emerging,target,pmmov,,2,Legionella occurrence and molecular detection in wastewater treatment plants (PubMed PMID 28501485).,"Legionella proliferates in the environment rather than being shed by cases, so wastewater load is NOT a shedding-based prevalence proxy. | Building water systems and cooling-tower drainage, not human excretion, dominate the signal."
mtb_complex,Mycobacterium tuberculosis complex (IS6110 / rpoB),genomics,communicable,Tuberculosis,qPCR / dPCR / targeted sequencing,emerging,target,pmmov,,2,Mtetwa HN et al. Molecular surveillance of tuberculosis-causing mycobacteria in wastewater. Heliyon. 2022.,Environmental non-tuberculous mycobacteria cross-react with generic targets; IS6110 copy number varies between strains. | No validated shedding model links wastewater load to TB incidence.
norovirus_gii,Norovirus genogroup II,genomics,communicable,Acute gastroenteritis,RT-qPCR / RT-dPCR,established,target,pmmov,,1,"Boehm AB et al. Wastewater concentrations of human influenza, metapneumovirus, parainfluenza, respiratory syncytial virus, rhinovirus, and seasonal coronavirus nucleic acids during a COVID-19 pandemic. Lancet Microbe. 2023.",Very high shedding per case; wastewater signal saturates during outbreaks.
