region_code,region_name,weeks,first_week,last_week,median_sites,population_covered,mean_case_rate,mean_detect_fraction
06085,Santa Clara,146,2020-03-21,2023-03-18,4.0,1999338.0,25.174324853228963,1.0
06075,San Francisco,127,2020-10-10,2023-03-18,3.0,1250000.0,25.03541057367829,0.9918635170603675
06067,Sacramento,127,2020-10-17,2023-03-18,1.0,1480000.0,27.987334083239595,1.0
06081,San Mateo,123,2020-10-17,2023-03-18,1.0,199000.0,27.871091753774678,1.0
06113,Yolo,121,2020-11-28,2023-03-18,1.0,70717.0,27.186186540731995,0.9597648563557655
06013,Contra Costa,105,2020-11-21,2023-03-18,1.0,487300.0,27.931374149659863,1.0
06001,Alameda,92,2021-04-10,2023-03-18,2.0,1480000.0,29.039751552795032,0.9873188405797101
06037,Los Angeles,79,2021-09-11,2023-03-18,3.0,11000000.0,41.23005424954792,0.9957805907172996
06071,San Bernardino,78,2021-09-18,2023-03-18,2.0,1215000.0,33.69606227106227,0.9935897435897436
06029,Kern,77,2021-09-18,2023-03-18,1.0,168750.0,36.60936920222634,1.0
06047,Merced,74,2021-10-23,2023-03-18,1.0,91000.0,34.19926640926641,0.9641891891891892
06099,Stanislaus,74,2021-10-23,2023-03-18,1.0,230000.0,31.953204633204635,0.9160070785070784
06025,Imperial,72,2021-10-02,2023-03-18,1.0,40000.0,57.2449007936508,0.9770833333333333
06019,Fresno,70,2021-11-20,2023-03-18,1.0,650000.0,36.17830612244898,1.0
06059,Orange,63,2022-01-08,2023-03-18,1.0,1800000.0,31.119886621315192,1.0
06079,San Luis Obispo,62,2022-01-15,2023-03-18,1.0,31037.0,32.193617511520735,0.9946236559139785
06033,Lake,56,2022-02-12,2023-03-18,1.0,13200.0,18.593392857142856,1.0
