target,hmpxv,influenza_a,influenza_b,legionella_pneumophila,norovirus_gii,rsv,sars_cov_2,sars_cov_2_del143_145,sars_cov_2_del69_70,sars_cov_2_s
hmpxv,1.0,0.15935108227032313,0.15015667283862696,,-0.045664378876548554,0.060532150776053215,0.10181657895439852,,0.48444673630980106,-0.13220545277507303
influenza_a,0.15935108227032313,1.0,-0.01682651193362122,0.28907730408881827,0.0042243272140817575,0.6413050169518254,0.3451498486369904,-0.54071135357691,0.4612277921487299,0.31277470972731564
influenza_b,0.15015667283862696,-0.01682651193362122,1.0,,0.32539393413710355,0.21379838276968394,0.12475473265662887,,-0.21552474215948703,-0.26555299539170507
legionella_pneumophila,,0.28907730408881827,,1.0,,-0.42333435300362765,0.7066408604319395,-0.709443081130697,0.5183760251088387,0.7231735535128319
norovirus_gii,-0.045664378876548554,0.0042243272140817575,0.32539393413710355,,1.0,0.12902872262804754,0.2019368117280989,,0.0739727642659701,-0.21455224330449238
rsv,0.060532150776053215,0.6413050169518254,0.21379838276968394,-0.42333435300362765,0.12902872262804754,1.0,0.3652923438938337,0.5860358826632256,0.5172838240261056,0.21566202006522364
sars_cov_2,0.10181657895439852,0.3451498486369904,0.12475473265662887,0.7066408604319395,0.2019368117280989,0.3652923438938337,1.0,0.19414129706274724,0.47511184014853897,0.7675793770971601
sars_cov_2_del143_145,,-0.54071135357691,,-0.709443081130697,,0.5860358826632256,0.19414129706274724,1.0,,0.2551317387373975
sars_cov_2_del69_70,0.48444673630980106,0.4612277921487299,-0.21552474215948703,0.5183760251088387,0.0739727642659701,0.5172838240261056,0.47511184014853897,,1.0,0.5532310002060005
sars_cov_2_s,-0.13220545277507303,0.31277470972731564,-0.26555299539170507,0.7231735535128319,-0.21455224330449238,0.21566202006522364,0.7675793770971601,0.2551317387373975,0.5532310002060005,1.0
