horizon,block,estimator,n,rmse,mae,r2,spearman,bias
0,wbe,ridge,1263,0.21681086163374652,0.160700644364811,0.34848208214015597,0.5782761674065626,-0.0005424759099795225
0,wbe,random_forest,1263,0.2037810891257169,0.15419261510438262,0.4244380817344541,0.567026203205427,-0.0007712353351982761
0,wbe,gradient_boosting,1263,0.2068076658577067,0.15607998735039955,0.40721451733728997,0.5572671873939954,-0.002208585184709219
0,ar,ridge,1329,0.20370019385406213,0.14989989748899718,0.4273707091754064,0.6029326088054954,-1.2149800659162713e-05
0,ar,random_forest,1329,0.19568171249608557,0.14414714902755607,0.4715655103023968,0.6226693035402522,-0.0010904300646820346
0,ar,gradient_boosting,1329,0.1960952724400647,0.14540559747807608,0.469329529544123,0.6088097002444209,0.0003030518094793214
0,wbe+ar,ridge,1263,0.19353559981386245,0.1431188521225675,0.4808581757475616,0.654285897239841,-0.0005133153359187281
0,wbe+ar,random_forest,1263,0.18368795054960843,0.13758673144241979,0.5323449476949376,0.6611064689988573,-0.0008147054173141327
0,wbe+ar,gradient_boosting,1263,0.1875129147471836,0.1398781859074214,0.5126660554519066,0.6487739480164313,-0.001699904784854143
1,wbe,ridge,1239,0.36807055039110465,0.27072107789876465,0.4111619661452537,0.6517938626721258,-0.0006763933870794596
1,wbe,random_forest,1239,0.337431264323286,0.25385717561967136,0.5051149309584253,0.6611515942595819,0.0013471244367877404
1,wbe,gradient_boosting,1239,0.3487894898780476,0.26015841999015765,0.4712376886621741,0.645665966558389,0.002159193300860593
1,ar,ridge,1302,0.3597054848907932,0.2615456596128705,0.4399143015944236,0.6335198504721831,3.569638078327253e-05
1,ar,random_forest,1302,0.344101053971885,0.2455806281937598,0.48745456627817774,0.6708353906713977,-0.0010074502350514776
1,ar,gradient_boosting,1302,0.3530996547033697,0.25445934688765637,0.46029685508880647,0.6484444845558228,-0.0011099848548111898
1,wbe+ar,ridge,1239,0.33056934201960925,0.24356794426598932,0.5250380057680284,0.7047510021812936,-0.0010548727128753205
1,wbe+ar,random_forest,1239,0.2901978065342078,0.21576535135531877,0.6339655483506996,0.759245525919333,-0.0015153850260273085
1,wbe+ar,gradient_boosting,1239,0.30139461103240456,0.22622401284540317,0.6051749688171644,0.7399207213891447,0.000511897743231356
2,wbe,ridge,1220,0.5078931998058096,0.37244426997873603,0.4148321922133633,0.6639600915928944,-0.0012729355961125998
2,wbe,random_forest,1220,0.4632988646213437,0.34305190304837185,0.5130794525557345,0.670452937600377,0.00043231847735095933
2,wbe,gradient_boosting,1220,0.4704452288180905,0.34982276150733116,0.4979421447310429,0.665637681203802,0.0018492799978119014
2,ar,ridge,1282,0.48186697849327564,0.3572760060674261,0.47308120369733053,0.6668553096024621,0.00039928562404158705
2,ar,random_forest,1282,0.4564649568223075,0.3253635722822089,0.5271708496697994,0.7114319613874666,0.004401890218912661
2,ar,gradient_boosting,1282,0.47372820967027957,0.3377648698971282,0.49073028185259804,0.688785085329341,0.011368120785997032
2,wbe+ar,ridge,1220,0.44043528885175204,0.3289602282929974,0.5599522073254383,0.7315619508264587,-0.0006050497825255345
2,wbe+ar,random_forest,1220,0.3855817144047715,0.2807851068870759,0.6627371622984539,0.7997053923219583,-0.002551478814168928
2,wbe+ar,gradient_boosting,1220,0.401767589947828,0.29164488961896434,0.633827749224797,0.7825468057335551,-0.0009620261870206763
