feature,rmse_increase,rmse_increase_sd,relative_increase
ar_lag4,0.016837272783650836,0.023460991955538708,0.043423453384420295
ar_delta1,0.011533518757895543,0.007792195576749846,0.02974503178615248
wbe_lag4,0.01091590260655312,0.013400687855000792,0.02815219507786298
wbe_lag3,0.008786354803941746,0.0114955615249244,0.0226600752479591
ar_lag3,0.005122200504881245,0.006199186404143069,0.013210193699857405
wbe_slope3,0.004455033059232549,0.0230312472838307,0.011489563830163797
ar_lag2,0.003745452229393594,0.004094188244543118,0.009659549523042198
wbe_delta2,0.003285761325126603,0.02029474387727022,0.008474003216988263
ar_roll3_mean,0.003285416940069072,0.0036290064316078247,0.008473115045329814
ar_lag1,1.994872011758075e-05,0.0007297352168995684,5.144789950458872e-05
wbe_missing_frac,0.0,0.0,0.0
wbe_delta1,-0.0010072592644812608,0.0070582448613104,-0.002597729233186636
wbe_lag0,-0.0022878126491447655,0.00715011912493419,-0.005900286061700537
wbe_roll3_std,-0.0028369711283516793,0.007221297849590244,-0.007316569917697431
wbe_lag2,-0.0029781809776365715,0.004239976017929137,-0.007680751183074185
wbe_lag1,-0.003380672209819397,0.006608541163229449,-0.008718779103801328
wbe_roll3_mean,-0.0036272084954097985,0.006758758472859407,-0.009354598042085565
