target,site_weeks,sites,weeks,mean_detect_fraction,first_week,last_week
sars_cov_2,6790,90,199,0.9870951679640928,2020-03-21,2024-01-20
rsv,4449,76,106,0.5881005897526465,2022-01-15,2024-01-20
influenza_a,3875,76,106,0.3971004608294931,2022-01-15,2024-01-20
hmpxv,3372,50,84,0.04018033666610179,2022-06-18,2024-01-20
norovirus_gii,2719,50,63,1.0,2022-11-12,2024-01-20
influenza_b,2719,50,65,0.12976059125378728,2022-06-11,2024-01-20
sars_cov_2_del69_70,2478,50,66,0.6216735846881125,2022-06-11,2023-09-09
sars_cov_2_s,2184,63,71,0.9803876678876678,2022-01-08,2023-05-13
candida_auris,964,49,28,0.011531811894882435,2023-07-15,2024-01-20
legionella_pneumophila,346,19,32,0.9832094687586017,2022-02-12,2022-09-17
sars_cov_2_del143_145,208,15,20,0.636904761904762,2022-01-15,2022-05-28
